,D_Finance,D_Human Resources,D_IT,D_Operations,D_Sales,D_Warehouse,G_Australia,G_China,G_Colombia,G_France,G_Japan,G_Korea,G_Turkey,G_UK,G_US,Role,Will_Relocate,Critical,Percent_Remote,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,salary,Gender,LinkedIn_Hits,Emp_Identity,Emp_Role,Emp_Position,Emp_Title,Sensor_StepCount,Sensor_Heartbeat(Average/Min),Sensor_Proximity(1-highest/10-lowest),left_Company
0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.8,0.82,7,267,4,0,0,0,1,7,2,1,1,1,1384,90,3,1
1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1,0.0,0.4,0.54,2,153,3,1,0,0,0,47,2,2,2,2,1030,68,9,1
2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.0,0.8,0.96,7,264,4,0,0,1,0,2,2,2,2,1,1540,90,5,1
3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.8,1.0,5,234,5,0,0,1,1,8,1,2,1,2,1837,90,2,1
4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1.0,0.4,0.55,2,128,3,0,1,1,0,53,4,2,1,2,6662,74,6,1
5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0.0,0.4,0.47,2,148,3,0,0,1,0,11,2,1,2,1,7752,62,10,1
6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,0.8,0.75,4,277,5,1,0,1,0,8,2,2,2,2,1335,90,3,1
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0.0,0.4,0.49,2,138,3,0,0,0,0,47,1,2,1,2,1768,64,8,1
8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0.0,0.4,0.51,2,159,3,0,0,0,0,33,1,1,1,2,1456,72,8,1
9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.8,0.9,5,258,5,0,0,0,1,6,1,2,1,1,1068,86,7,1
10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0.0,0.4,0.62,4,238,3,0,0,0,0,28,1,1,1,1,1040,85,10,1
11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.4,0.5,2,156,3,0,0,1,1,16,1,1,1,1,6113,74,9,1
12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,0.8,1.0,5,253,6,0,0,0,0,1,2,1,2,2,1300,85,5,1
13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.4,0.55,2,151,3,0,0,0,0,14,1,1,1,1,1970,67,6,1
14,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.8,0.9,4,226,5,0,0,1,1,6,2,2,2,2,1723,85,1,1
15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.4,0.52,2,140,3,0,0,1,0,65,2,1,1,2,7067,62,10,1
16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1,0.0,0.8,0.89,6,247,4,0,0,0,1,7,2,1,1,2,1831,90,1,1
17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0.0,0.4,0.46,2,130,3,0,0,0,1,61,1,1,2,2,1267,61,6,1
18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.8,0.8,6,264,4,0,0,0,1,1,2,1,2,1,1039,87,7,1
19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.8,0.95,7,301,4,0,0,0,1,1,2,1,2,2,1339,88,3,1
20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1,1.0,0.4,0.57,2,152,3,0,0,0,1,17,1,2,1,2,1510,67,9,1
21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.4,0.55,2,159,3,0,0,2,1,59,1,1,2,1,1965,72,6,1
22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0,0.0,0.8,1.0,4,257,5,0,0,1,0,4,2,2,1,1,1668,88,3,1
23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0.0,0.8,0.96,5,256,6,1,0,1,1,3,2,1,1,2,1441,85,3,1
24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.4,0.54,2,129,3,0,0,2,1,30,1,2,1,1,1455,69,8,1
25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0.0,0.4,0.48,2,159,3,0,0,1,0,19,1,2,2,2,6303,75,9,1
26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0.0,0.8,0.89,5,232,6,0,0,1,0,3,2,2,2,2,1540,88,2,1
27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0.0,0.4,0.5,2,151,3,0,0,1,1,42,1,1,1,1,7325,68,10,1
28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0.0,0.4,0.56,2,157,3,0,0,0,1,20,1,2,1,2,1480,65,10,1
29,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0.0,0.4,0.5,4,254,4,0,0,0,1,55,2,2,2,2,1866,90,8,1
30,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.4,0.56,2,148,3,0,0,1,0,57,1,2,1,2,8021,74,9,1
31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0.0,0.4,0.47,2,148,3,0,0,1,0,42,2,1,2,2,7494,73,7,1
32,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.8,0.97,5,233,5,0,0,1,0,6,2,2,2,2,1631,87,9,1
33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,0.8,0.96,4,231,5,0,0,0,0,2,2,2,1,2,1465,90,7,1
34,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.8,0.95,4,275,5,0,0,1,1,5,2,2,1,2,1900,87,1,1
35,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1,0.0,0.8,0.93,7,284,4,0,0,0,0,1,2,1,1,1,1085,89,8,1
36,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0.0,0.8,0.96,7,244,4,0,0,0,1,2,2,1,2,1,1330,90,6,1
37,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0.0,0.4,0.56,4,260,3,0,0,1,1,13,1,1,1,2,1745,86,6,1
38,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.4,0.54,2,138,3,0,0,1,1,43,1,2,2,1,7813,70,8,1
39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.4,0.48,2,146,3,0,0,0,1,47,1,2,1,2,1633,64,9,1
40,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0.0,0.4,0.53,3,255,5,0,0,2,1,60,2,1,1,2,1797,90,10,1
41,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,1,0.0,0.4,0.51,2,136,3,0,0,1,1,40,2,2,2,1,6295,74,10,1
42,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.4,0.55,2,155,3,0,0,0,0,33,2,1,2,1,1011,70,9,1
43,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.8,0.97,6,307,4,0,0,0,0,9,1,1,2,2,1674,87,3,1
44,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.8,0.98,5,263,6,0,0,0,0,3,2,1,2,1,1665,90,6,1
45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.8,0.88,5,249,5,0,0,1,1,5,1,2,1,2,1662,86,7,1
46,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.4,0.47,2,135,3,0,0,0,0,34,1,2,1,2,1415,72,7,1
47,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0.0,0.4,0.52,2,137,3,0,0,1,0,58,1,1,1,2,6547,73,7,1
48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.4,0.49,2,145,3,0,0,1,1,8,1,1,1,1,8068,69,7,1
49,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0.0,0.4,0.55,2,129,3,0,0,0,0,5,2,2,2,1,1574,68,8,1
50,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.8,0.86,5,262,5,0,0,0,0,10,1,1,1,2,1197,88,7,1
51,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.8,0.78,7,286,4,0,0,0,0,3,2,2,1,1,1670,90,1,1
52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0.0,0.4,0.46,2,157,3,0,0,1,1,11,2,2,2,1,8089,65,8,1
53,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0.0,0.8,0.77,6,275,4,0,0,0,0,4,1,1,2,2,1192,87,6,1
54,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0.0,0.4,0.47,2,160,3,0,0,0,0,8,2,1,2,2,1414,70,9,1
55,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0.0,0.8,0.77,6,280,4,0,0,1,1,5,2,2,1,2,1431,87,4,1
56,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0.0,0.8,0.83,6,244,4,0,0,0,1,5,1,1,1,1,1867,86,2,1
57,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.4,0.54,2,133,3,0,0,1,1,14,1,1,2,2,8009,68,7,1
58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,0,0.0,0.8,0.92,2,258,5,0,0,0,0,9,2,1,2,2,1548,89,9,1
59,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.4,0.57,2,157,3,0,0,0,1,11,2,2,2,1,1208,70,10,1
60,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0.0,0.8,0.99,4,233,5,0,0,0,0,8,1,2,2,2,1097,85,1,1
61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,0,0.0,0.8,0.84,4,256,5,0,0,0,0,5,1,2,2,2,1533,88,6,1
62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,0,0.0,0.8,0.75,3,188,4,0,0,0,1,2,2,1,2,1,1059,87,6,1
